strain,stress,material
0.00091,6.74531,Aluminum
0.00092,6.83624,Aluminum
0.00093,6.93852,Aluminum
0.00095,7.02947,Aluminum
0.00095,7.12037,Aluminum
0.00096,7.21129,Aluminum
0.00098,7.3136,Aluminum
0.00099,7.4159,Aluminum
0.001,7.50684,Aluminum
0.00101,7.59777,Aluminum
0.00102,7.70006,Aluminum
0.00103,7.80235,Aluminum
0.00105,7.89332,Aluminum
0.00106,7.99564,Aluminum
0.00107,8.09795,Aluminum
0.00108,8.18888,Aluminum
0.00109,8.29121,Aluminum
0.0011,8.40489,Aluminum
0.00111,8.50719,Aluminum
0.00112,8.60948,Aluminum
0.00113,8.70045,Aluminum
0.00115,8.79143,Aluminum
0.00116,8.89374,Aluminum
0.00117,8.98469,Aluminum
0.00118,9.08701,Aluminum
0.00119,9.18935,Aluminum
0.00119,9.29164,Aluminum
0.00121,9.38264,Aluminum
0.00122,9.49632,Aluminum
0.00123,9.59867,Aluminum
0.00124,9.70102,Aluminum
0.00125,9.80332,Aluminum
0.00126,9.89433,Aluminum
0.00127,10.00801,Aluminum
0.00128,10.11038,Aluminum
0.00129,10.21272,Aluminum
0.0013,10.31507,Aluminum
0.00131,10.41742,Aluminum
0.00132,10.53114,Aluminum
0.00134,10.63352,Aluminum
0.00135,10.73586,Aluminum
0.00136,10.83824,Aluminum
0.00137,10.95196,Aluminum
0.00138,11.05434,Aluminum
0.00139,11.15672,Aluminum
0.0014,11.25907,Aluminum
0.00141,11.37282,Aluminum
0.00142,11.4752,Aluminum
0.00144,11.58896,Aluminum
0.00145,11.70269,Aluminum
0.00146,11.8051,Aluminum
0.00147,11.91884,Aluminum
0.00148,12.02123,Aluminum
0.00149,12.13497,Aluminum
0.0015,12.23737,Aluminum
0.00151,12.35112,Aluminum
0.00152,12.46485,Aluminum
0.00154,12.57874,Aluminum
0.00156,12.6812,Aluminum
0.00156,12.79492,Aluminum
0.00157,12.90871,Aluminum
0.00159,13.02252,Aluminum
0.0016,13.1363,Aluminum
0.00161,13.25008,Aluminum
0.00162,13.37524,Aluminum
