strain,stress
0.00227,20.09286
0.00227,20.20657
0.00229,20.33206
0.0023,20.45735
0.00231,20.57127
0.00232,20.69657
0.00233,20.82186
0.00235,20.936
0.00236,21.0613
0.00237,21.18661
0.00238,21.30054
0.00239,21.42585
0.0024,21.55117
0.00242,21.66532
0.00243,21.79064
0.00244,21.91597
0.00245,22.02992
0.00246,22.15524
0.00247,22.28057
0.00249,22.40613
0.0025,22.53146
0.00251,22.64543
0.00252,22.74802
0.00253,22.86199
0.00254,22.97596
0.00256,23.2039
0.00257,23.31788
0.00258,23.43186
0.00259,23.54584
0.00261,23.66006
0.00262,23.77405
0.00263,23.88804
0.00264,24.00203
0.00265,24.11602
0.00266,24.23002
0.00267,24.34402
0.00269,24.57202
0.0027,24.68603
0.00271,24.80004
0.00272,24.91405
0.00274,25.02831
0.00275,25.14233
0.00276,25.25634
0.00278,25.37062
0.00279,25.59841
0.0028,25.71244
0.00281,25.82647
0.00282,25.9405
0.00284,26.05479
0.00285,26.16883
0.00286,26.28287
0.00287,26.39691
0.00289,26.51122
0.0029,26.73905
0.00291,26.8531
0.00292,26.96716
0.00293,27.08121
0.00295,27.19554
0.00296,27.3096
0.00297,27.42366
0.00298,27.65152
0.003,27.76587
0.00301,27.87994
0.00302,27.99402
0.00303,28.10809
0.00305,28.22245
0.00306,28.45034
0.00307,28.56442
0.00309,28.6788
0.0031,28.79289
0.00311,28.90698
0.00312,29.02108
0.00313,29.13518
0.00315,29.36338
0.00316,29.47749
0.00316,29.5916
0.00318,29.706
0.00319,29.82012
0.0032,30.04805
0.00322,30.16247
0.00323,30.27659
0.00324,30.39072
0.00325,30.50484
0.00327,30.61928
0.00328,30.84724
0.00329,30.96137
0.00331,31.07582
0.00332,31.18996
0.00333,31.30411
0.00334,31.53209
0.00336,31.64655
0.00337,31.76071
0.00339,31.87518
0.0034,31.98934
0.00341,32.21734
0.00343,32.33183
0.00344,32.446
0.00345,32.56017
0.00347,32.67466
0.00348,32.90269
0.0035,33.0172
0.0035,33.13105
0.00352,33.24556
0.00353,33.47361
0.00355,33.58813
0.00356,33.70233
0.00357,33.81652
0.00359,34.04492
0.00361,34.15947
0.00362,34.27367
0.00364,34.38822
0.00365,34.6163
0.00366,34.73052
0.00368,34.84508
0.00369,34.95931
0.0037,35.1874
0.00372,35.30198
0.00373,35.41621
0.00374,35.53045
0.00376,35.75892
0.00377,35.87316
0.00379,35.98776
0.0038,36.102
0.00381,36.33014
0.00383,36.44475
0.00384,36.559
0.00386,36.67363
0.00387,36.90178
0.00389,37.01641
0.0039,37.13068
0.00391,37.35885
0.00393,37.47349
0.00394,37.58777
0.00396,37.81633
0.00397,37.93061
0.00399,38.04527
0.004,38.27347
0.00401,38.38776
0.00403,38.50244
0.00405,38.61712
0.00406,38.84534
0.00407,38.95964
0.00409,39.07433
0.0041,39.30256
0.00412,39.41727
0.00413,39.53159
0.00415,39.76023
0.00416,39.87455
0.00418,39.98927
0.00419,40.21753
0.00421,40.33227
0.00422,40.56054
0.00424,40.67528
0.00425,40.78962
0.00427,41.01832
0.00428,41.13266
0.0043,41.24743
0.00431,41.47573
0.00433,41.5905
0.00434,41.70486
0.00436,41.93359
0.00437,42.04796
0.00439,42.2767
0.0044,42.39108
0.00442,42.50588
0.00443,42.73422
0.00445,42.84903
